Item,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
ate the seeds birds,0.00346475923792057,0.00668200415691434,0.0128867556873347,0.0248531873776811,0.0267021164333902,0.0404896383193852,0.051150788219926,0.0634522163232863,0.0828939489054255,0.0969390453066047,0.13309656468852,0.101385550767511,0.0937750133008429,0.0856328146449277,0.0945479701436911,0.0820476264866385
ate the seeds butterflies,0.0388885317662421,0.0456540000165888,0.0467328014348461,0.0568728488611033,0.0635015108603523,0.0679040534511815,0.0709341086920702,0.0731791898754446,0.0896133459380063,0.108884343158262,0.10565125943718,0.0792872152261526,0.053757824565584,0.0386517984688805,0.0310401503592332,0.0294470178888724
ate the seeds dogs,0.0459291014973489,0.0629259437471489,0.0824339591731655,0.0894732447570262,0.0640408095143112,0.0644074776396066,0.0678821620166127,0.0530258548690971,0.0595312234746423,0.0671801858184993,0.0562153621400924,0.0450583214656635,0.0520531972773525,0.0571791078997874,0.0625010511546017,0.0701629975550438
beeped houses,0.0870042789171027,0.0938861432912359,0.112715133899093,0.109037601985004,0.0815834376354222,0.0823057221255484,0.0704972900806688,0.0830364819349442,0.0832973399119359,0.0508916461270881,0.036062371169992,0.0336879254599913,0.0224699357647994,0.0190123532530219,0.0221210319790335,0.0123913064651191
beeped new cars,6.19855478570048e-05,0.000272449198133032,0.00119870285719134,0.00527515900433923,0.0232157032139183,0.102172305448203,0.0631379938070559,0.0612037453278762,0.0912859000545092,0.103606271577408,0.259386858750502,0.0661675332819017,0.0468517779185433,0.0218320796957383,0.0541919514510004,0.100139582865823
beeped old cars,0.0278635724752484,0.0349985596196019,0.0868119870242015,0.109023489428125,0.0831797259645507,0.116713500646088,0.0652007757573022,0.0501139618027791,0.0521934843528589,0.0272858536835603,0.0372107518397257,0.0478299644145817,0.0726998006186956,0.0499523306249268,0.0441648614767289,0.0947573802710258
blew away backpacks,0.0271592002726118,0.180777869401855,0.186237874477786,0.0697826487698179,0.0344701233654295,0.164837250633509,0.0704273665935666,0.0602590094974459,0.0854581220502347,0.0128777832830287,0.00219383541426323,0.00205404176126825,0.011786486208062,0.0781700183776197,0.0117439372158058,0.00176443267769544
blew away hats,5.33251573882726e-05,0.000189808702889053,0.000676315462740687,0.0024105085957875,0.00859218184452896,0.0306272616900298,0.0237192462421159,0.0605758804234745,0.123748202773105,0.0734351246295357,0.158618437831595,0.109202245121529,0.090369339598975,0.0673707581318524,0.083225226882244,0.167186136912209
blew away napkins,9.28518742681951e-06,4.81733221978835e-05,0.000251904234554874,0.00131922939412246,0.00691083541535216,0.0362046805162392,0.00826986873703261,0.00869847641412207,0.0389605320316184,0.021445885183599,0.0774854476888178,0.0364779194590796,0.120581116576751,0.0740434961270034,0.100055894556237,0.469237255155845
broke boxes,0.000381851429795611,0.00117403047224557,0.00361013745313893,0.0111016474582553,0.0341395200134979,0.0157313088098912,0.019352744544402,0.0500752127842215,0.0616676200377319,0.0703637396325147,0.0883414420698408,0.0515221208587423,0.0868531779666549,0.0653030763906542,0.135201925332704,0.30518044474571
broke logs,0.0290466773745698,0.0344831978024482,0.12695634923137,0.0890943412789966,0.0957985455759537,0.0738351239467445,0.0579230742246905,0.0980552852809317,0.115215966582818,0.0625638224829173,0.0776693628803685,0.0183485361363503,0.00533984551831221,0.00580886503275911,0.0209394176322684,0.0889215890185015
broke sunglasses,1.10106165855384e-07,1.12992234198363e-07,1.31179178123e-07,2.45786626738186e-07,9.68000723428154e-07,5.51912901186116e-06,3.41986698747512e-05,0.000214926615117837,0.00135380782482548,0.00853061940247359,0.0537562531051196,0.0333260484225075,0.161540267524846,0.0939989629180703,0.140297270502599,0.506940557820626
burnt books,1.15569968821943e-07,1.81004681408161e-07,7.7144641274345e-07,6.09922160000153e-06,5.41737172522135e-05,0.000487967759039471,0.00440225262333564,0.0397222997492299,0.0101029070484662,0.0525588568062546,0.121653867686683,0.0136746094776801,0.00325191527684798,0.0160282524120748,0.143152501168719,0.594903229031754
burnt matches,5.11272074056973e-06,2.19211313979035e-05,9.5257644318343e-05,0.00041523103365145,0.00181130191027451,0.00790247685646998,0.0344787867318726,0.00871548200833909,0.00554484919176342,0.0167477203120037,0.0713650738777452,0.0275444109752502,0.0551262755605474,0.0838925974474163,0.188413736923334,0.497919765674876
burnt rocks,0.153949207167161,0.102672580211757,0.108133839105886,0.0418287028617709,0.0261614376800209,0.042165182945011,0.0416562909555127,0.0240186948152773,0.0354580951200239,0.0222652279452528,0.0360266024569235,0.0258439469889113,0.0469479463308908,0.0573293429550517,0.0695559015913445,0.165987000869205
decomposed banana peels,1.516147286947e-07,5.5493617511338e-07,4.46210791623461e-06,4.23127879387619e-05,0.000408990802905315,0.0039611797353047,0.0383729679975807,0.0154329375160318,0.112725691493772,0.0193197938702337,0.0764280673213063,0.0163570988231915,0.0837187913135749,0.0907011880829912,0.0917021461162227,0.450823665480126
decomposed pinecones,0.0590335129030741,0.0784587921591157,0.105352732810926,0.0722002155220457,0.0374153397384826,0.0570384819353613,0.0529815626296826,0.0193451408724859,0.0138396378700445,0.0284591290746938,0.084462806145719,0.050042569008435,0.0883924585883376,0.0420328075494471,0.0567957469613904,0.154149066230758
decomposed soda cans,0.475831261263755,0.117424666057093,0.0289884205034604,0.00719906756022656,0.00196078351387317,0.0012302481781096,0.00332789036547328,0.0130763917547629,0.0528884971549284,0.0130963391719018,0.0034136462354201,0.0015789735158998,0.00337423150106692,0.0129268914278839,0.0521994396967382,0.211483252099407
dissolved carrots,0.459611141735231,0.131705898909329,0.129619556186711,0.0446204690366798,0.0700049536358746,0.0667849523783756,0.0269947007359002,0.0539847087050881,0.0127387249270615,0.00300601254147593,0.000709408564460453,0.00016748462606741,3.96081798265231e-05,9.43349230176106e-06,2.31324620497907e-06,6.3309941183878e-07
dissolved oreos,0.0718856955002602,0.0247412476414752,0.0467154180931514,0.0471256253219682,0.0271178536391879,0.082868157097717,0.0659821809936798,0.0813572512272079,0.0198750669816813,0.0139169900284218,0.0468381096148225,0.0585380258057944,0.081702462928072,0.0289740537178689,0.0571893332103654,0.245172528198326
dissolved sugar cubes,1.10683729733608e-07,1.2236855857104e-07,2.18821264675734e-07,1.01499249185849e-06,7.5870074056302e-06,6.18358656313542e-05,0.000509634395824545,0.00420599834156555,0.0347177251520119,0.00841204423082851,0.0357380876011879,0.0127522176981032,0.071069586715234,0.0261715504989254,0.148133993415663,0.658218272211574
exploded balls of tin foil,0.0584177853986044,0.0533108485109426,0.0554426071769955,0.0673526516931371,0.0469585260838212,0.0262354962561386,0.0367670004798864,0.0348283107880993,0.0181098423261005,0.0229657165312864,0.0551807960188681,0.0405912241344592,0.0743583413426365,0.0841672525987855,0.137974472797517,0.187339127862722
exploded candles,0.426206604602629,0.21608010800387,0.119090932268533,0.0538436264612154,0.0337829679147891,0.0420736104571904,0.0174714913706029,0.00753172325371579,0.00391263393606819,0.0035770040088751,0.00624316545027555,0.0141486196220871,0.0339277976583535,0.0139780686816764,0.00575893346656448,0.00237271284355407
exploded CDs,0.0982332644976911,0.0487254805669237,0.0196440254654676,0.0693103264752038,0.0470206577064936,0.0383230912230327,0.00835116605126685,0.0118566282279137,0.0628920360643983,0.0162420850397745,0.0347023257211339,0.0173734259868613,0.0696899928603959,0.0515725815639928,0.0652948451162551,0.340768067433195
exploded eggs,0.0243126522270972,0.0426343872730236,0.0480989108479764,0.0424759095840624,0.0506086995351549,0.075131085727579,0.0706559945369029,0.0623984928354574,0.047684387681221,0.0484128400146104,0.064819759213423,0.075554202373863,0.0840925202342119,0.0931998480841038,0.0791612694632484,0.0907590403680647
exploded fireworks,9.99998736125353e-08,9.99998736125353e-08,9.99998736125353e-08,9.99998736125353e-08,9.99998736125353e-08,9.99998736125353e-08,9.99998736125353e-08,9.99998736126425e-08,9.99999750628533e-08,1.96034893469298e-07,0.0909088839411282,2.92070065501752e-07,0.0909090279940638,0.136363756087058,0.363635715939687,0.318181227934141
exploded gas tanks,0.00679539901863234,0.0126394254657527,0.0235093863246909,0.0437276468243622,0.0350769690990286,0.0403743608034136,0.0617262933410593,0.0613663257406716,0.0391513193599276,0.0325045197881136,0.0387828728573615,0.0604829225160387,0.106233544371666,0.147970268573889,0.156032526457033,0.13362621945836
fell down block towers,0.00257870875315967,0.00727411141861067,0.0205194395766857,0.0578833741559245,0.0241413737616797,0.0187752346483784,0.0354775473901385,0.024309137068274,0.0417137785658367,0.0385778206639339,0.0807864569335962,0.0788096530480269,0.0998950829042975,0.0992555278821121,0.145710476531045,0.2242922766983
fell down card towers,1.61624244534626e-06,1.15789650400329e-05,8.74357843105992e-05,0.000665014551074237,0.00506273693152799,0.0385472818082588,0.00636374961396676,0.010741879577377,0.0768357842871759,0.0101073755199961,0.00144926120722524,0.00111710208774341,0.00720251080013556,0.054668601089077,0.129090059398148,0.658048012136498
fell down shelves,0.0499236210843681,0.0697112980112923,0.119296389973764,0.118988981940464,0.0938788280683231,0.083675127268116,0.0840164004174569,0.0698273686953241,0.0602642124417399,0.0512392474761491,0.0641159875155791,0.053956172147784,0.0416382336048319,0.0218969810664636,0.0115153485724571,0.00605580171588671
flashed cameras,0.0250015345443901,0.00957775181467301,0.00732198670033368,0.0151328553051308,0.0437492869407137,0.0659224621387014,0.0455449211281893,0.0877855816166714,0.0509417798023699,0.0841361588439539,0.166413982053452,0.0779330930118073,0.096599932976266,0.048300898335165,0.0664091757142684,0.109228599073914
flashed phones,0.00575206931321488,0.0146458313299157,0.0372912449240051,0.0477984310367074,0.0560331459817476,0.116880265179035,0.0988609346153023,0.0793615721856489,0.0872260518439554,0.0826858889052058,0.108630945967875,0.0479638283705372,0.0323324032097105,0.0470594933783376,0.0588202844799664,0.078657609278835
flashed webcams,0.0483002119163388,0.0639825996408013,0.0794762622911842,0.100239030085773,0.133584839312045,0.145805491586767,0.0957511962719976,0.0566990486030981,0.0376197885061406,0.0317925156588804,0.0371645026621456,0.0329007652994369,0.0402266821384227,0.0389955643994188,0.0287737359562678,0.0286877656712826
froze berries,1.07198685950528e-07,1.08826908470014e-07,1.27926640910954e-07,3.51974505959998e-07,2.98014984759132e-06,3.38097479106969e-05,0.000395453851969097,0.00463769073525556,0.054400907035361,0.0544013774745879,0.00464371972795975,0.000466219985802445,0.000863929861757809,0.00974063725357756,0.114227150278178,0.756185427971052
froze bottles of hand soap,0.0734594833299801,0.0249453269734248,0.00889206853872851,0.00440979707295343,0.00566578695420588,0.0142944426171922,0.0415241292674312,0.0263982310027487,0.04562387709281,0.0278288905052201,0.0462471481716301,0.0284558282735335,0.0476935791612511,0.128994253283743,0.185372878810413,0.290194278944734
